,Número de registro,Título,Autor,Data de produção,Dimensões,Material/Técnica,Classificação,Resumo descritivo,Condições de reprodução,Local de produção,ACERVO,URL,TAINACAN_COLECTION_ID
91,C.0904.0062,,,,Total: a 197 (lanterna triangular) | Lanterna: a 38 x l 20,Folha de flandres | Madeira,09 Objetos Cerimoniais > 09.3 Objeto de Culto,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
92,C.0904.0063,,,,Total: a 197 (lanterna triangular) | Lanterna: a 38 x l 20,Folha de flandres | Madeira,09 Objetos Cerimoniais > 09.3 Objeto de Culto,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
93,C.0505.0065,,,,c 213 x p 32 x a 97,Madeira,05 Interiores > 05.5 Peça de Mobiliário,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
94,C.0505.0066,,,,l 110 x a 180,Madeira,05 Interiores > 05.5 Peça de Mobiliário,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
95,C.0505.0067,,,,a 80 (Aprox.),Madeira,05 Interiores > 05.5 Peça de Mobiliário,Lateral de banco de igreja (esquerda),,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
0,C.0505.0068,,,,a 80 (Aprox.),Madeira,05 Interiores > 05.5 Peça de Mobiliário,Lateral de banco de igreja (direita),,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
1,C.0504.0070,,,,"a 42,5 x d 13,2 (diâmetro da base)",Madeira,05 Interiores > 05.4 Objeto de Iluminação,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
2,C.0504.0071,,,,"a 45 (com bocal) x d 14,3 (diâmetro da base)",Madeira | Metal,05 Interiores > 05.4 Objeto de Iluminação,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
3,C.0504.0072,,,,a 46 x d 14 (diâmetro da base),Madeira,05 Interiores > 05.4 Objeto de Iluminação,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
4,C.0504.0073,,,,a 63 x l 44,Metal,05 Interiores > 05.4 Objeto de Iluminação,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
5,C.0504.0074,,,,a 63 x l 44,Metal,05 Interiores > 05.4 Objeto de Iluminação,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
