,Classificação,Denominação,Título,Autor,Local de produção,Data de produção,Material/Técnica,Dimensões,Estado de conservação,Resumo descritivo,Mídias relacionadas,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
27,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“Ciranda negra”,Ana Elisa Sampaio Dias Baptista,Brasil,2006,"Gravura em metal (água forte, água tinta)","62,0 x 50,8 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
28,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“Ciranda”,Ana Elisa Sampaio Dias Baptista,Brasil,2001,Gravura em metal (água forte),"63,2 x 53,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
29,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“Apocalipse”,Gilda Vogt Maia Rosa,Brasil,1951,Xilogravura,"35,0 x 60,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
30,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“Harpias n° 1”,Gilda Vogt Maia Rosa,Brasil,1951,Xilogravura,"35,0 x 60,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
31,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“Íncubo e Súcubo”,Gilda Vogt Maia Rosa,Brasil,1953,Xilogravura,"36,0 x 39,2 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
32,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“Íncubo e Súcubo #2”,Gilda Vogt Maia Rosa,Brasil,1953,Xilogravura,"42,2 x 35,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
33,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Due figure di vecchio seduto con compasso e tavoletta; particolare dello stesso,Tommaso Minardi,Itália,1810/1820 (circa),Grafite e giz sobre papel,"Obra: 53,0 x 40,5 cm",Bom,"Duas figuras de um velho sentado com compasso e prancheta e, ao centro, braço e prancheta.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
34,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,“Grátis”,Renata de Andrade,Brasil,2007,"Tinta acryl, látex e spray sobre caixa de papelão","69,3 x 57,6 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
35,10 Comunicação > 10.1 Documento,Fotografia,“Pedras-grito”,Julia Ancona do Amaral,Brasil,2002,Fotografia colorida,"Obra: 60,0 x 90,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
36,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,Vídeo-arte,“Dis-cursus”,Laércio Redondo Júnior,Suécia,2003,"Vídeo, dvd",,Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
37,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,Vídeo-arte,“Desterro”,César Rossi,,2007,"Vídeo, dvd",,Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
38,10 Comunicação > 10.1 Documento,Livro,“O Livro Velázquez”,Victor Meirelles de Lima,,1996,Impressão off-set sobre papel,"Obra: 27,0 x 31,0 cm",Bom,Livro com capa e folhas internas com imagens e textos de aparência embaçada.,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
39,10 Comunicação > 10.1 Documento,Livro,“O Livro Velázquez”,Victor Meirelles de Lima,,1996,Impressão off-set sobre papel,"Obra: 27,0 x 31,0 cm",Bom,Livro com capa e folhas internas com imagens e textos de aparência embaçada.,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
40,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo para “Batalha dos Guararapes”,Victor Meirelles de Lima,,1874/1878 (circa),Óleo sobre tela,"Obra: 45,7 x 37,8 cm",Bom,Busto de velho com barba e chapéu virado à direita.,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
41,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “Mergulho”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 14,8 x 17,6 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
42,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “Mergulho”",Luiz Rodolfo Annes,Brasil,2006,Nanquim sobre papel,"Obra: 16,8 x 17,8 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
43,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “Mergulho”",Luiz Rodolfo Annes,Brasil,2006,Nanquim sobre papel,"Obra: 15,8 x 17,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
44,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “Mergulho”",Luiz Rodolfo Annes,Brasil,2006,Nanquim sobre papel,"Obra: 16,8 x 17,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
45,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “Mergulho”",Luiz Rodolfo Annes,Brasil,2006,Nanquim sobre papel,"Obra: 15,4 x 16,8 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
46,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “Mergulho”",Luiz Rodolfo Annes,Brasil,2006,Nanquim sobre papel,"Obra: 15,8 x 17,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
