,Número de registro,Denominação,Título,Autor,Classificação,Dimensões - altura,Resumo descritivo,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
48,MCHA.0746,Pano de bandeja,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"35,0","37,0",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
49,MCHA.0747,Pano de bandeja,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"25,5","26,0",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
50,MCHA.0748,Pano de bandeja,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"26,5","26,5",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
51,MCHA.0749,Pano de bandeja,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"55,5","36,0",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
52,MCHA.0750,Lenço,,,12 Objetos Pessoais > 12.8 Peça de Indumentária,,,"39,0","44,0",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
53,MCHA.0751,Pano de utensílio doméstico,,,05 Interiores > 05.1 Acessório de Interiores,,,"49,0","42,5",,Linha (crochê),"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
54,MCHA.0752,Pano de utensílio doméstico,,,05 Interiores > 05.1 Acessório de Interiores,,,"56,0","32,0",,Linha (crochê),"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
55,MCHA.0753,Pano de utensílio doméstico,,,05 Interiores > 05.1 Acessório de Interiores,,,"42,5","22,5",,Linha (crochê),"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
56,MCHA.0754,Pano de utensílio doméstico,,,05 Interiores > 05.1 Acessório de Interiores,,,"35,0","27,0",,Linha (crochê),"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
57,MCHA.0755,Pano de utensílio doméstico,,,05 Interiores > 05.1 Acessório de Interiores,,,"44,0","45,0",,Linha (crochê),"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
